"","ID","title","authors","strategy1","strategy2","quadrant","purpose","human","system","researcher","practitioners"
"1",1,"On the long-term use of visual gui testing in industrial practice - a case study.","Emil Alégroth, Robert Feldt","FieldStudy",NA,"Field","Descriptive","TRUE","FALSE","FALSE","TRUE"
"2",2,"Evaluating code complexity triggers, use of complexity measures and the influence of code complexity on maintenance time.","Vard Antinyan, Miroslaw Staron, Anna Sandberg","SampleSurvey",NA,"Respondent","Descriptive","TRUE","FALSE","FALSE","TRUE"
"3",3,"Multi-objective reverse engineering of variability-safe feature models based on code dependencies of system variants.","Wesley K. G. Assunção, Roberto E. Lopez-Herrejon, Lukas Linsbauer, Silvia R. Vergilio, Alexander Egyed","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"4",4,"Reengineering legacy applications into software product lines - a systematic mapping.","Wesley K. G. Assunção, Roberto E. Lopez-Herrejon, Lukas Linsbauer, Silvia R. Vergilio, Alexander Egyed","Meta",NA,"Meta","Descriptive","FALSE","FALSE","TRUE","FALSE"
"5",5,"""Failures"" to be celebrated - an analysis of major pivots of software startups.","Sohaib Shahid Bajwa, Xiaofeng Wang 0001, Anh Nguyen-Duc, Pekka Abrahamsson","ComputationalStudy",NA,"Data","Descriptive","TRUE","FALSE","FALSE","FALSE"
"6",6,"User satisfaction and system success - an empirical exploration of user involvement in software development.","Muneera Bano, Didar Zowghi, Francesca da Rimini","FieldStudy","Meta","mixed","Descriptive","TRUE","FALSE","FALSE","TRUE"
"7",7,"Extracting and analyzing time-series HCI data from screen-captured task videos.","Lingfeng Bao, Jing Li 0034, Zhenchang Xing, Xinyu Wang 0001, Xin Xia 0001, Bo Zhou","ComputationalStudy","LaboratoryExperiment","mixed","Solution","FALSE","TRUE","TRUE","FALSE"
"8",8,"A large-scale study of architectural evolution in open-source software systems.","Pooyan Behnamghader, Duc Minh Le, Joshua Garcia, Daniel Link, Arman Shahbazian, Nenad Medvidovic","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","TRUE","FALSE"
"9",9,"The last line effect explained.","Moritz Beller, Andy Zaidman, Andrey N. Karpov, Rolf A. Zwaan","ComputationalStudy","SampleSurvey","mixed","Descriptive","TRUE","TRUE","FALSE","TRUE"
"10",10,"An empirical study of unspecified dependencies in make-based build systems.","Cor-Paul Bezemer, Shane McIntosh, Bram Adams, Daniel M. Germán, Ahmed E. Hassan","ComputationalStudy","JudgmentStudy","mixed","Descriptive","TRUE","TRUE","FALSE","TRUE"
"11",11,"The Debsources Dataset - two decades of free and open source software.","Matthieu Caneill, Daniel M. Germán, Stefano Zacchiroli","ComputationalStudy",NA,"Data","Solution","FALSE","FALSE","TRUE","FALSE"
"12",12,"Raters&apos; reliability in clone benchmarks construction.","Alan Charpentier, Jean-Rémy Falleri, Floréal Morandat, Elyas Ben Hadj Yahia, Laurent Réveillère","LaboratoryExperiment",NA,"Experiment","Descriptive","TRUE","TRUE","TRUE","FALSE"
"13",13,"Characterizing logging practices in Java-based open source software projects - a replication study in Apache Software Foundation.","Boyuan Chen, Zhen Ming (Jack) Jiang","ComputationalStudy",NA,"Data","Descriptive","TRUE","FALSE","FALSE","FALSE"
"14",14,"Predicting the delay of issues with due dates in software projects.","Morakot Choetkiertikul, Hoa Khanh Dam, Truyen Tran 0001, Aditya Ghose","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"15",15,"An experimental search-based approach to cohesion metric evaluation.","Mel Ó Cinnéide, Iman Hemati Moghadam, Mark Harman, Steve Counsell, Laurence Tratt","ComputationalStudy",NA,"Data","Descriptive","TRUE","TRUE","TRUE","FALSE"
"16",16,"Exception handling bug hazards in Android - Results from a mining study and an exploratory survey.","Roberta Coelho, Lucas Almeida, Georgios Gousios, Arie van Deursen, Christoph Treude","ComputationalStudy","SampleSurvey","mixed","Descriptive","TRUE","TRUE","FALSE","TRUE"
"17",17,"Empirical evaluation of the effects of experience on code quality and programmer productivity - an exploratory study.","Oscar Dieste, Alejandrina M. Aranda, Fernando Uyaguari Uyaguari, Burak Turhan, Ayse Tosun, Davide Fucci, Markku Oivo, Natalia Juristo","FieldExperiment","LaboratoryExperiment","mixed","Descriptive","TRUE","FALSE","FALSE","TRUE"
"18",18,"Productivity paradoxes revisited - Assessing the relationship between quality maturity levels and labor productivity in brazilian software companies.","Carlos Henrique C. Duarte","ComputationalStudy",NA,"Data","Descriptive","TRUE","FALSE","FALSE","FALSE"
"19",19,"Estimating the number of remaining links in traceability recovery.","Davide Falessi, Massimiliano Di Penta, Gerardo Canfora, Giovanni Cantone","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
