Robert Feldt
Thomas Zimmermann
Victor R. Basili
Lionel C. Briand
Bram Adams
Sven Apel
Daniel Amyot
Gabriele Bavota
Daniel M. Berry
Antonia Bertolino
Kelly Blincoe
Eric Bodden
Barry Boehm
Barbora Buhnova
Jeff Carver
Michel R. V. Chaudron
Vittorio Cortellessa
Daniela Damian
Andrea De Lucia
Massimiliano Di Penta
Hakan Erdogmus
Harald Gall
Alessandro Garcia
Mark Grechanik
Paul Grünbacher
Tony Gorschek
Mark Harman
Ahmed Hassan
Hadi Hemmati
Natalia Juristo
Yasutaka Kamei
Miryung Kim
Sung Kim
Filippo Lanubile
David Lo
Andrian Marcus
Atif Memon
Daniel Méndez 
Tim Menzies
Audris Mockus
Martin Monperrus
Maurizio Morisio
Emerson Murphy-Hill
Sarah Nadi
Mei Nagappan
Nachi Nagappan
Jeff Offutt
Richard Paige
Xin Peng
Denys Poshyvanyk
Romain Robbes
Martin Robillard
Brian P. Robinson
Dieter Rombach
Gregg Rothermel
Per Runeson
Federica Sarro
Alexander Serebrenik
Helen Sharp
Martin Shepperd
Forrest Shull
Saurabh Sinha
Lin Tan
Paolo Tonella
Christoph Treude
Burak Turhan
Arie van Deursen
Hélène Waeselynck
Elaine Weyuker
Jon Whittle
Shin Yoo
Tao Yue
Andy Zaidman
Andreas Zeller
Neil Ernst
Daniel Graziotin
René Just
Chakkrit Tantithamthavorn
Sira Vegas
