"","ID","title","authors","strategy1","strategy2","quadrant","purpose","human","system","researcher","practitioners"
"1",2,"A General Framework for Dynamic Stub Injection","Maria Christakis, Patrick Emmisberger, Patrice Godefroid and Peter Müller","ComputationalStudy",NA,"Data","Solution","FALSE","TRUE","FALSE","FALSE"
"2",3,"A Guided Genetic Algorithm for Automated Crash Reproduction","Mozhan Soltani, Annibale Panichella and Arie Van Deursen","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"3",4,"A SEALANT for Inter-App Security Holes in Android","Youn Kyu Lee, Jae Young Bang, Gholamreza Safi, Arman Shahbazian, Yixue Zhao and Nenad Medvidovic","ComputationalStudy","ExperimentalSimulation","mixed","Solution","TRUE","TRUE","FALSE","TRUE"
"4",5,"A Test-Suite Diagnosability Metric for Spectrum-based Fault Localization Approaches","Alexandre Perez, Rui Abreu and Arie van Deursen","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"5",6,"Adaptive Coverage and Operational Profile-based Testing for Reliability Improvement","Antonia Bertolino, Breno Miranda, Roberto Pietrantuono and Stefano Russo","ComputationalStudy",NA,"Data","Solution","FALSE","TRUE","TRUE","FALSE"
"6",7,"Adaptive Unpacking of Android Apps","Lei Xue, Xiapu Luo, Le Yu, Shuai Wang and Dinghao Wu","ComputationalStudy",NA,"Data","Solution","FALSE","TRUE","FALSE","FALSE"
"7",8,"An Efficient, Robust, and Scalable Approach for Analyzing Interacting Android Apps","Yutaka Tsutano, Shakthi Bachala, Witawas Srisa-An, Gregg Rothermel and Jackson Dinh","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"8",9,"An Empirical Study on Mutation, Statement and Branch Coverage Fault Revelation that Avoids the Unreliable Clean Program Assumption","Titcheu Chekam Thierry, Mike Papadakis, Yves Le Traon and Mark Harman","ComputationalStudy",NA,"Data","Descriptive","TRUE","TRUE","TRUE","FALSE"
"9",10,"An Unsupervised Approach for Discovering Relevant Tutorial Fragments for APIs","He Jiang, Jingxuan Zhang, Zhilei Ren and Tao Zhang","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"10",11,"Analysis and Testing of Notifications in Android Wear Applications","Hailong Zhang and Atanas Rountev","FormalTheory","ComputationalStudy","mixed","Solution","FALSE","TRUE","FALSE","FALSE"
"11",12,"Analyzing APIs Documentation and Code to Detect Directive Defects","Yu Zhou, Ruihang Gu, Taolue Chen, Zhiqiu Huang, Sebastiano Panichella and Harald Gall","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"12",13,"Automated Refactoring of Legacy Java Software to Default Methods","Raffi Khatchadourian and Hidehiko Masuhara","ComputationalStudy","JudgmentStudy","mixed","Solution","TRUE","TRUE","FALSE","TRUE"
"13",14,"Automated Transplantation and Differential Testing for Clones","Tianyi Zhang and Miryung Kim","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"14",15,"Automatic Input Generation for Mobile Testing","Peng Liu, Xiangyu Zhang, Marco Pistoia, Yunhui Zheng, Manoel Marques and Lingfei Zeng","ComputationalStudy",NA,"Data","Solution","FALSE","TRUE","FALSE","FALSE"
"15",16,"Balancing Soundness and Efficiency for Practical Testing of Configurable Systems","Sabrina Souto, Marcelo d'Amorim and Rohit Gheyi","ComputationalStudy",NA,"Data","Solution","FALSE","TRUE","FALSE","FALSE"
"16",17,"Becoming Agile: A Grounded Theory of Agile Transitions in Practice","Rashina Hoda and James Noble","SampleSurvey",NA,"Respondent","Descriptive","TRUE","FALSE","TRUE","TRUE"
"17",18,"Can Latent Topics in Source Code Predict Missing Architectural Tactics?","Raghuram Gopalakrishnan, Palak Sharma, Mehdi Mirakhorli and Matthias Galster","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"18",19,"Challenges for Static Analysis of Java Reflection -- Literature Review and Empirical Study","Davy Landman, Alexander Serebrenik and Jurgen Vinju","Meta","ComputationalStudy","mixed","Descriptive","TRUE","TRUE","TRUE","FALSE"
"19",20,"Characterizing and Detecting Anti-patterns in the Logging Code","Boyuan Chen and Zhen Ming Jack Jiang","ComputationalStudy","JudgmentStudy","mixed","Solution","TRUE","TRUE","FALSE","TRUE"
"20",21,"Classifying Developers into Core and Peripheral: An Empirical Study on Count and Network Metrics","Mitchell Joblin, Sven Apel, Claus Hunsen and Wolfgang Mauerer","SampleSurvey","ComputationalStudy","mixed","Descriptive","TRUE","FALSE","TRUE","TRUE"
"21",22,"Clone Refactoring with Lambda Expressions","Nikolaos Tsantalis, Davood Mazinanian and Shahriar Rostami Dovom","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"22",23,"Code Defenders: Crowdsourcing Effective Tests and Subtle Mutants with a Mutation Testing Game","José Miguel Rojas, Thomas White, Benjamin Clegg and Gordon Fraser","LaboratoryExperiment","SampleSurvey","mixed","Solution","TRUE","TRUE","FALSE","FALSE"
"23",24,"Decoding the representation of code in the brain: An fMRI study of code review and expertise","Benjamin Floyd, Tyler Santander and Westley Weimer","LaboratoryExperiment",NA,"Experiment","Descriptive","FALSE","FALSE","TRUE","FALSE"
"24",25,"Detecting User Story Information in Developer-Client Conversations to Generate Extractive Summaries","Paige Rodeghero, Siyuan Jiang, Ameer Armaly and Collin McMillan","FieldStudy","ComputationalStudy","mixed","Solution","TRUE","TRUE","TRUE","TRUE"
"25",26,"Do Developers Read Compiler Error Messages?","Titus Barik, Justin Smith, Kevin Lubick, Elisabeth Holmes, Jing Feng, Emerson Murphy-Hill and Chris Parnin","ExperimentalSimulation",NA,"Experiment","Descriptive","TRUE","TRUE","FALSE","FALSE"
"26",27,"Efficient Detection of Thread Safety Violations via Coverage-Guided Generation of Concurrent Tests","Ankit Choudhary, Shan Lu and Michael Pradel","ComputationalStudy",NA,"Data","Solution","FALSE","TRUE","FALSE","FALSE"
"27",28,"Evaluating and Improving Fault Localization","Spencer Pearson, José Campos, René Just, Gordon Fraser, Rui Abreu, Michael D. Ernst, Deric Pang and Benjamin Keller","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","TRUE","FALSE"
"28",29,"Exploring API Embedding for API Usages and Applications","Trong Nguyen, Anh Nguyen, Hung Phan and Tien Nguyen","ComputationalStudy",NA,"Data","Solution","FALSE","TRUE","FALSE","FALSE"
"29",30,"Feedback-Based Debugging","Yun Lin, Jun Sun, Yinxing Xue, Yang Liu and Jinsong Dong","ComputationalStudy","LaboratoryExperiment","mixed","Solution","TRUE","TRUE","FALSE","FALSE"
"30",31,"From Diversity by Numbers to Diversity as Process: Supporting Inclusiveness in Software Teams with Brainstorming","Anna Filippova, Erik Trainer and James Herbsleb","FieldStudy",NA,"Field","Descriptive","TRUE","FALSE","FALSE","TRUE"
"31",32,"Fuzzy Fine-grained Code-history Analysis","Francisco Servant and James Jones","ComputationalStudy","JudgmentStudy","mixed","Solution","TRUE","TRUE","FALSE","FALSE"
"32",33,"Glacier: Transitive Class Immutability for Java","Michael Coblenz, Whitney Nelson, Jonathan Aldrich, Brad Myers and Joshua Sunshine","ComputationalStudy","LaboratoryExperiment","mixed","Solution","TRUE","TRUE","FALSE","TRUE"
"33",34,"Heuristically Matching Formula Solution Spaces to Efficiently Reuse Solutions","Andrea Aquino, Giovanni Denaro and Mauro Pezze'","ComputationalStudy","FormalTheory","mixed","Solution","FALSE","TRUE","FALSE","FALSE"
"34",35,"How Good is a Security Policy against Real Breaches? A HIPAA Case Study","Ozgur Kafali, Jasmine Jones, Megan Petruso, Laurie Williams and Munindar P. Singh","ComputationalStudy","FormalTheory","mixed","Solution","TRUE","TRUE","FALSE","FALSE"
"35",36,"How do Developers Fix Cross-project Correlated Bugs? A case study on the GitHub scientific Python ecosystem","Wanwangying Ma, Lin Chen, Xiangyu Zhang, Yuming Zhou and Baowen Xu","ComputationalStudy","SampleSurvey","mixed","Descriptive","TRUE","TRUE","FALSE","TRUE"
"36",37,"Learning Syntactic Program Transformations from Examples","Reudismam Rolim, Gustavo Soares, Loris D’antoni, Oleksandr Polozov, Sumit Gulwani, Rohit Gheyi, Ryo Suzuki and Bjorn Hartmann","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"37",38,"Learning to Prioritize Test Programs for Compiler Testing","Junjie Chen, Yanwei Bai, Dan Hao, Yingfei Xiong, Hongyu Zhang and Bing Xie","ComputationalStudy",NA,"Data","Solution","FALSE","TRUE","FALSE","FALSE"
"38",39,"LibD: Scalable and Precise Third-party Library Detection in Android Markets","Menghao Li, Wei Wang, Pei Wang, Shuai Wang, Dinghao Wu, Jian Liu, Rui Xue and Wei Huo","ComputationalStudy",NA,"Data","Solution","FALSE","TRUE","TRUE","FALSE"
"39",40,"Machine Learning-Based Detection of Open Source License Exceptions","Christopher Vendome, Mario Linares-Vásquez, Gabriele Bavota, Massimiliano Di Penta, Daniel German and Denys Poshyvanyk","ComputationalStudy","JudgmentStudy","mixed","Descriptive","TRUE","TRUE","FALSE","TRUE"
"40",41,"Machine-Learning-Guided Selectively Unsound Static Analysis","Kihong Heo, Hakjoo Oh and Kwangkeun Yi","ComputationalStudy","FormalTheory","mixed","Solution","TRUE","TRUE","FALSE","FALSE"
