Sven Apel
Antonia Bertolino
Víctor Braberman
Lionel Briand
Cristian Cadar
Marsha Chechik
Shing-Chi Cheung
Myra Cohen
Massimiliano Di Penta
Danny Dig
Robert Feldt
Bernd Fischer
Gordon Fraser
John Grundy
Dan Hao
Sarfraz Khurshid
Moonzoo Kim
David Lo
Walid Maalej
Na Meng
Emerson Murphy-Hill
Gail Murphy
Shiva Nejati
Tien N. Nguyen
Denys Poshyvanyk
Abhik Roychoudhury
Cindy Rubio-Gonzalez
Alessandra Russo
Federica Sarro
Diomidis Spinellis
Margaret-Anne Storey
Jon Whittle
Tao Xie
Dongmei Zhang
Xiangyu Zhang
Thomas Zimmermann
Arie van Deursen
