Bram Adams
Dalal Alrajeh
Nadia Alshahwan
Joanne M. Atlee
Benoit Baudry
Jonathan Bell
Thorsten Berger
Christian Bird
Kelly Blincoe
Markus Borg
Travis Breaux
Yuriy Brun
Tevfik Bultan
Marcel Böhme
Yuanfang Cai
Antonio Carzaniga
Betty H.C. Cheng
Ruzanna Chitchyan
Prem Devanbu
Sebastian Elbaum
Emelie Engstrom
Alessio Ferrari
Antonio Filieri
Brian Fitzgerald
Juan Pablo Galeotti
Alessandro Garcia
Milos Gligoric
Georgios Gousios
Lars Grunske
Paul Grünbacher
Jin L.C. Guo
Sonia Haiduc
William G.J. Halfond
Shi Han
Mark Harman
Robert Hierons
Rashina Hoda
Jennifer Horkoff
Marieke Huisman
Paola Inverardi
Valerie Issarny
Pooyan Jamshidi
Ciera Jaspan
Jean-Marc Jézéquel
Gail Kaiser
Marouane Kessentini
Jacques Klein
Nicholas A. Kraft
Christian Kästner
Shuvendu K. Lahiri
Emmanuel Letier
Mario Linares-Vásquez
Anna Liu
Sam Malek
Shahar Maoz
Andrian Marcus
Leonardo Mariani
Christoph Mayr-Dorn
Shane McIntosh
Collin McMillan
Tim Menzies
Ali Mesbah
Mehdi Mirakhorli
Sasa Misailovic
Audris Mockus
Patrick Mäder
Mei Nagappan
Alessandro Orso
Mike Papadakis
Liliana Pasquale
Patrizio Pelliccione
Anna Perini
Paul Ralph
Awais Rashid
Baishakhi Ray
Ita Richardson
Per Runeson
Sukyoung Ryu
Mehrdad Sabetzadeh
Caitlin Sadowski
Alexander Serebrenik
Weiyi (Ian) Shang
Bonita Sharif
Helen Sharp
Elena Sherman
Saurabh Sinha
Manu Sridharan
Jan-Philipp Steghöfer
Jun Sun
Shin Hwei Tan
Patanamon Thongtanunam
Christoph Treude
Ganesha Upadhyaya
Michael Vierhauser
Chao Wang
Westley Weimer
Laurie Williams
Xin Xia
Zhenchang Xing
Yingfei Xiong
Chang Xu
Cemal Yilmaz
Shin Yoo
Tingting Yu
Yijun Yu
Lingming Zhang
Jianjun Zhao
Hao Zhong
Minghui Zhou
Andrea Zismany
Marcelo d'Amorim
Sven Apel
Antonia Bertolino
Víctor Braberman
Lionel Briand
Cristian Cadar
Marsha Chechik
Shing-Chi Cheung
Myra Cohen
Massimiliano Di Penta
Danny Dig
Robert Feldt
Bernd Fischer
Gordon Fraser
John Grundy
Dan Hao
Sarfraz Khurshid
Moonzoo Kim
David Lo
Walid Maalej
Na Meng
Emerson Murphy-Hill
Gail Murphy
Shiva Nejati
Tien N. Nguyen
Denys Poshyvanyk
Abhik Roychoudhury
Cindy Rubio-Gonzalez
Alessandra Russo
Federica Sarro
Diomidis Spinellis
Margaret-Anne Storey
Jon Whittle
Tao Xie
Dongmei Zhang
Xiangyu Zhang
Thomas Zimmermann
Arie van Deursen
